ORG,CITY,COUNTRY,label
Academy of Armed Forces,Tirana,Albania,
IVODENT Academy,Tirana,Albania,
University of Applied Sciences for Management & Communication,Vienna,Austria,
University College of Teacher Education in Vienna,Vienna,Austria,Pädagogische Hochschule Wien {https://ror.org/0105rz203}
Royal Academy of fine-Arts of Brussels,Brussels,Belgium,Académie Royale des Beaux-Arts {https://ror.org/0200zrw72}
University college Arteveldehogeschool,Gent,Belgium,Artevelde University College Ghent {https://ror.org/04ffw0491}
University College of the Province of Namur,Namur,Belgium,Haute École de la Province de Namur {https://ror.org/04sv11p30}
Catholic University College Bruges-Ostend,Brugge,Belgium,Catholic University College of Bruges–Ostend {https://ror.org/0113zvv22}
Polytechnic of Zagreb,Zagreb,Croatia,Tehničko Veleučilište u Zagrebu {https://ror.org/03jbhek14}
"Academia Rerum Civilium – School of Political and Social Sciences, Kolín",Kutná Hora,Czech Republic,Academia Rerum Civilium - Vysoká Skola Politických a Společenských Věd {https://ror.org/05xw54w34}
"Metropolitan University, Prague",Prague,Czech Republic,Metropolitan University Prague {https://ror.org/01zdaff53}
NEWTON College,Brno,Czech Republic,NEWTON University {https://ror.org/049ezvq17}
The Danish National School of Performing Arts,Copenhagen,Denmark,
University of Greenland,Nuussuaq,Denmark,University of Greenland {https://ror.org/00t5j6b61}
Häme Polytechnic,Hämeenlinna,Finland,Häme University of Applied Sciences {https://ror.org/01eg9n443}
Häme University of Applied Sciences,Hämeenlinna,Finland,Häme University of Applied Sciences {https://ror.org/01eg9n443}
Oulu University of Applied Sciences,Oulu,Finland,Oulu University of Applied Sciences {https://ror.org/03dvp8k55}
Grenoble EM,Grenoble,France,Grenoble Ecole de Management {https://ror.org/01h4fxd96}
University of Franche-Comté,Besançon,France,University of Franche-Comté {https://ror.org/03pcc9z86}
University of Toulon,La Garde,France,Université de Toulon {https://ror.org/02m9kbe37}
University of the French West Indies and Guiana,Pointe-à-Pitre,France,Université des Antilles {https://ror.org/02ryfmr77}
Pantheon-Sorbonne University,Paris,France,Université Paris 1 Panthéon-Sorbonne {https://ror.org/002t25c44}
University of Paris 3 - Sorbonne Nouvelle,Paris,France,Université Sorbonne Nouvelle {https://ror.org/03z6jp965}
