ORG,CITY,COUNTRY,label
Akademia e Forcave të Armatosura,Tirana,Albania,
Akademia IVODENT,Tirana,Albania,
FHWien der WKW,Vienna,Austria,
Pädagogische Hochschule Wien,Vienna,Austria,Pädagogische Hochschule Wien {https://ror.org/0105rz203}
Académie royale des Beaux-Arts de la Ville de Bruxelles - École supérieure des Arts,Brussels,Belgium,Académie Royale des Beaux-Arts {https://ror.org/0200zrw72}
Arteveldehogeschool,Gent,Belgium,Artevelde University College Ghent {https://ror.org/04ffw0491}
Ecole industrielle et commerciale de la Ville de Namur,Namur,Belgium,
Haute Ecole de la Province de Namur,Namur,Belgium,Haute École de la Province de Namur {https://ror.org/04sv11p30}
Katholieke Hogeschool Brugge-Oostende,Brugge,Belgium,Catholic University College of Bruges–Ostend {https://ror.org/0113zvv22}
Tehnicko veleučilište u Zagrebu,Zagreb,Croatia,Tehničko Veleučilište u Zagrebu {https://ror.org/03jbhek14}
"Academia Rerum Civilium - Vysoká škola politických a společenských věd, s.r.o.",Kutná Hora,Czech Republic,Academia Rerum Civilium - Vysoká Skola Politických a Společenských Věd {https://ror.org/05xw54w34}
"Metropolitní univerzita v Praze, o.p.s.",Prague,Czech Republic,Metropolitan University Prague {https://ror.org/01zdaff53}
"NEWTON College, a.s.",Brno,Czech Republic,NEWTON University {https://ror.org/049ezvq17}
Den Danske Scenekunstskole,Copenhagen,Denmark,
Ilisimatusarfik,Nuussuaq,Denmark,University of Greenland {https://ror.org/00t5j6b61}
Hämeen ammattikorkeakoulu,Hämeenlinna,Finland,Häme University of Applied Sciences {https://ror.org/01eg9n443}
Oulun ammattikorkeakoulu,Oulu,Finland,Oulu University of Applied Sciences {https://ror.org/03dvp8k55}
École normale supérieure de Paris,Paris,France,École Normale Supérieure - PSL {https://ror.org/05a0dhs15}
Grenoble École de management,Grenoble,France,Grenoble Ecole de Management {https://ror.org/01h4fxd96}
Institut national des langues et civilisations orientales,Paris,France,Institut National des Langues et Civilisations Orientales {https://ror.org/023zg8w32}
Université de Franche-Comté,Besançon,France,University of Franche-Comté {https://ror.org/03pcc9z86}
Université de Toulon,La Garde,France,Université de Toulon {https://ror.org/02m9kbe37}
Université des Antilles et de la Guyane,Pointe-à-Pitre,France,Université des Antilles {https://ror.org/02ryfmr77}
Université Paris 1 - Panthéon Sorbonne,Paris,France,Université Paris 1 Panthéon-Sorbonne {https://ror.org/002t25c44}
Université Sorbonne Nouvelle - Paris 3,Paris,France,Université Sorbonne Nouvelle {https://ror.org/03z6jp965}
Hochschule Offenburg,Offenburg,Germany,Offenburg University of Applied Sciences {https://ror.org/03zh5eq96}
Hochschule Ostewestfalen-Lippe,Lemgo,Germany,Ostwestfalen-Lippe University of Applied Sciences and Arts {https://ror.org/04eka8j06}
Accademia delle Belle Arti di Lecce,Lecce,Italy,Accademia di Belle Arti di Lecce {https://ror.org/05fp0vp37}
Università degli Studi di MILANO-BICOCCA,Milano,Italy,University of Milano-Bicocca {https://ror.org/01ynf4891}
Academia Tehnică Militară din Bucureşti,Bucharest,Romania,Military Technical Academy {https://ror.org/01tqmsq19}
"Akademia e Filmit dhe Multimedias ""Marubi""",Tirana,Albania,Academy of Film & Multimedia “MARUBI” {https://ror.org/05rjmhp95}
"Universiteti ""Albanian University""",Tirana,Albania,Albanian University {https://ror.org/02f8a6404}
"Universiteti ""Aleksandër Moisiu"", Durrës",Durrës,Albania,Aleksandër Moisiu University {https://ror.org/023p15505}
"Universiteti ""EPOKA""",Tirana,Albania,Epoka University {https://ror.org/04xgcc957}
Universiteti Bujqësor i Tiranës,Tirana,Albania,Agricultural University of Tirana {https://ror.org/03k793y62}
"Universiteti i Elbasanit ""Aleksandër Xhuvani""",Elbasan,Albania,University of Elbasan {https://ror.org/03c19jm06}
Universiteti i Tiranës,Tirana,Albania,University of Tirana {https://ror.org/03g9v2404}
"Universiteti i Vlorës, ""Ismail Qemali""",Vlorë,Albania,University of Vlorë {https://ror.org/05ger6s34}
"Universiteti Katolik ""Zoja e Këshillit të Mirë""",Tirana,Albania,Catholic University Our Lady of Good Counsel {https://ror.org/01qgdf403}
Universiteti Luarasi,Tirana,Albania,Luarasi University {https://ror.org/05qwfk367}
Universiteti Politeknik i Tiranës,Tirana,Albania,Polytechnic University of Tirana {https://ror.org/05aec4025}
Universitat d'Andorra,Sant Julià de Lòria,Andorra,University of Andorra {https://ror.org/00w7mf142}
Universitat Oberta La Salle,La Massana,Andorra,
Akademie der bildenden Künste Wien,Vienna,Austria,Academy of Fine Arts Vienna {https://ror.org/029djt864}
Danube Private University,Krems an der Donau,Austria,Danube Private University {https://ror.org/054ebrh70}
Fachhochschule Campus Wien,Vienna,Austria,FH Campus Wien {https://ror.org/003f4pg83}
Fachhochschule Kärnten,Spittal an der Drau,Austria,Carinthia University of Applied Sciences {https://ror.org/036w00e23}
Fachhochschule St. Pölten GmbH,St. Pölten,Austria,St. Pölten University of Applied Sciences {https://ror.org/039a2re55}
FH JOANNEUM Gesellschaft mbH,Graz,Austria,FH JOANNEUM University of Applied Sciences {https://ror.org/03kkbqm48}
FH OÖ Studienbetriebs GmbH,Wels,Austria,University of Applied Sciences Upper Austria {https://ror.org/03jqp6d56}
FHS Kufstein Tirol Bildungs GmbH,Kufstein,Austria,University of Applied Sciences Kufstein {https://ror.org/04r1x2k35}
Kirchliche Pädagogische Hochschule Edith Stein,Innsbruck,Austria,Kirchliche Pädagogische Hochschule Edith Stein {https://ror.org/04kne2879}
Paracelsus Medizinische Privatuniversität Salzburg,Salzburg,Austria,Paracelsus Medical University {https://ror.org/03z3mg085}
Private Pädagogische Hochschule der Diözese Linz,Linz,Austria,Private University College of Education of the Diocese of Linz {https://ror.org/00wb8n271}
Technische Universität Graz,Graz,Austria,Graz University of Technology {https://ror.org/00d7xrm67}
Technische Universität Wien,Vienna,Austria,TU Wien {https://ror.org/04d836q62}
Universität für angewandte Kunst Wien,Vienna,Austria,University of Applied Arts Vienna {https://ror.org/05yjy4360}
Universität Mozarteum Salzburg,Salzburg,Austria,Mozarteum University of Salzburg {https://ror.org/00tfmqe91}
Académie des Beaux-Arts de la ville de Tournai,Tournai,Belgium,Académie des Beaux-Arts de Tournai {https://ror.org/02k7ygp86}
Arts²,Mons,Belgium,Arts² {https://ror.org/00tf9x563}
Centre d'enseignement supérieur pour adultes,Charleroi,Belgium,
Centre de formation culturelle et sociale,Brussels,Belgium,
Collège Technique Saint-Henri,Mouscron,Belgium,
Conservatoire royal de musique de Bruxelles,Brussels,Belgium,Royal Conservatory of Brussels {https://ror.org/033wswd35}
