raw_affiliation_string,label
"SELMET, Univ Montpellier, CIRAD, INRA, Montpellier SupAgro, Montpellier, France",Institut Agro Montpelier {https://ror.org/03rnk6m14}|Université Paul-Valéry Montpellier {https://ror.org/00qhdy563}|Tropical and Mediterranean Animal Production Systems {https://ror.org/05merjr74}|Centre de Coopération Internationale en Recherche Agronomique pour le Développement {https://ror.org/05kpkpg04}|French National Institute for Agricultural Research {https://ror.org/01x3gbx83}
"Sorbonne Université, iEES Paris, 4 place Jussieu, 75252 Paris, France",Institut d'écologie et des sciences de l'environnement de Paris {https://ror.org/02s56xp85}|Sorbonne Université {https://ror.org/02en5vm52}
"Université Sorbonne Paris Nord, INSERM U1272, Bobigny, France",Université Sorbonne Paris Nord {https://ror.org/0199hds37}|Inserm {https://ror.org/02vjkv261}
"Centre Léon Bérard & University Claude Bernard, Lyon, France.",Centre Léon Bérard {https://ror.org/01cmnjq37}|Claude Bernard University Lyon 1 {https://ror.org/029brtt94}
"Centre national de référence des légionelles, centre de biologie et de pathologie nord, institut des agents infectieux, hôpital de la Croix Rousse. 103, grande rue de la Croix Rousse, 69317 Lyon cedex 04, France.",Hôpital de la Croix-Rousse {https://ror.org/006evg656}|Hospices Civils de Lyon {https://ror.org/01502ca60}
"Epidemiology in Dermatology and Evaluation of Therapeutics, EA7379, Paris-Est University, Paris Est Créteil University, Département Infectieux/Immuno/Vaccin, F-94000 Créteil, France.",Université Paris-Est Créteil {https://ror.org/05ggc9x40}|University of Paris-Est {https://ror.org/0268ecp52}
"CLLE (UMR 5263), Université de Toulouse, CNRS, UT2J, Toulouse, France.","Université Toulouse - Jean Jaurès {https://ror.org/04ezk3x31}|Université de Toulouse {https://ror.org/004raaa70}|Laboratoire Cognition, Langues, Langage, Ergonomie {https://ror.org/029cj5595}|French National Centre for Scientific Research {https://ror.org/02feahw73}"
"Normandie University, UNIROUEN, ESIGELEC, IRSEEM, 76000 Rouen, France.",Normandie Université {https://ror.org/01k40cz91}|École Supérieure d'Ingénieurs en Génie Électrique {https://ror.org/01apwkd48}|University of Rouen {https://ror.org/03nhjew95}
"Collecte Localisation Satellite, Toulouse, France",Collecte Localisation Satellites (France) {https://ror.org/00q7mnz48}
"Université Paris Diderot-Paris VII, Paris, France.",Paris Diderot University {https://ror.org/02n7qrg46}
"Department of Cardiology, University Hospital of Nice, Nice, France.",Centre Hospitalier Universitaire de Nice {https://ror.org/05qsjq305}
"Innovation, Montpellier Univ., CIRAD, INRA, SupAgro, France",University of Montpellier {https://ror.org/051escj72}|Institut Agro Montpelier {https://ror.org/03rnk6m14}|Centre de Coopération Internationale en Recherche Agronomique pour le Développement {https://ror.org/05kpkpg04}|French National Institute for Agricultural Research {https://ror.org/01x3gbx83}
"Ambroise Paré Hospital, AP–HP, Université Versailles-Saint-Quentin en Yvelines - Rheumatology, Boulogne-Billancourt, France",Université de Versailles Saint-Quentin-en-Yvelines {https://ror.org/03mkjjy25}|Hôpital Ambroise-Paré {https://ror.org/03j6rvb05}|Assistance Publique – Hôpitaux de Paris {https://ror.org/00pg5jh14}
"f Climat, Environnement, Couplages, Incertitudes, Université de Toulouse, CNRS, Cerfacs, Toulouse, France","Centre Européen de Recherche et de Formation Avancée en Calcul Scientifique {https://ror.org/02dzbc556}|Université de Toulouse {https://ror.org/004raaa70}|French National Centre for Scientific Research {https://ror.org/02feahw73}|Climat, Environnement, Couplages et Incertitudes {https://ror.org/05t8ct211}"
"MISTEA, Université Montpellier, INRAE, Institut Agro","University of Montpellier {https://ror.org/051escj72}|Mathématiques, Informatique et Statistique pour l'Environnement et l'Agronomie {https://ror.org/01pd2sz18}|National Research Institute for Agriculture, Food and Environment {https://ror.org/003vg9w96}|Institut Agro Montpelier {https://ror.org/03rnk6m14}"
"Chair of Innovation Management & Value in Health, University Paris-Descartes Medical School, Paris, France.",Paris Descartes University {https://ror.org/0220k9r37}
"Laboratoire J.A. Dieudonné, Université de Nice Sophia-Antipolis, Nice, France",Nice Sophia Antipolis University {https://ror.org/02k9vew78}|Laboratoire Jean-Alexandre Dieudonné {https://ror.org/0274zdr66}
"SPO, Univ. Montpellier, INRAE, Institut Agro, F-34060 Montpellier, France.","University of Montpellier {https://ror.org/051escj72}|Sciences pour L’Œnologie {https://ror.org/04w07sc25}|National Research Institute for Agriculture, Food and Environment {https://ror.org/003vg9w96}|Institut Agro Montpelier {https://ror.org/03rnk6m14}"
"Sorbonne Université, UFR 919 Ingénierie, 75005, Paris, France",Sorbonne Université {https://ror.org/02en5vm52}
"IRMAGE, CHU Grenoble Alpes, France.",Centre Hospitalier Universitaire de Grenoble {https://ror.org/041rhpw39}
"Pôle des Spécialités Médicales/Département de Pneumologie, CHRU de Nancy, Vandœuvre-lès-Nancy, France.",Centre Hospitalier Universitaire de Nancy {https://ror.org/016ncsr12}
"Normandie University, UNIROUEN, INSERM U1096, 22 Boulevard Gambetta, 76000 Rouen, France",Normandie Université {https://ror.org/01k40cz91}|Inserm {https://ror.org/02vjkv261}|University of Rouen {https://ror.org/03nhjew95}
"LCC-CNRS, Université de Toulouse, CNRS, 205 route de Narbonne 31077 Toulouse, Cedex 4, France",Université de Toulouse {https://ror.org/004raaa70}|French National Centre for Scientific Research {https://ror.org/02feahw73}|Laboratoire de Chimie de Coordination {https://ror.org/01rtzw447}
"Hospital Saint-Louis, University of Paris Diderot, Paris, France.",Hôpital Saint-Louis {https://ror.org/049am9t04}|Paris Diderot University {https://ror.org/02n7qrg46}
"University Hospital Charles Nicolle, Centre Hospitalier du Rouvray, Normandie Université, Rouen, France.",Normandie Université {https://ror.org/01k40cz91}|Hôpital Charles-Nicolle {https://ror.org/00cxy0s05}|Centre Hospitalier du Rouvray {https://ror.org/02y92d036}
"Laboratoire MAP5 UMR CNRS 8145, Université Paris Descartes, Sorbonne Paris Cité, France",Sorbonne Paris Cité {https://ror.org/001z21q04}|Paris Descartes University {https://ror.org/0220k9r37}|French National Centre for Scientific Research {https://ror.org/02feahw73}|Mathématiques Appliquées à Paris 5 {https://ror.org/04yrrdj53}
"IMCCE, Observatoire de Paris - PSL Research University, UPMC Univ. Paris 06, Univ. Lille 1, CNRS, Paris, France",French National Centre for Scientific Research {https://ror.org/02feahw73}|Institut de Mécanique Céleste et de Calcul des Éphémérides {https://ror.org/002zc3t08}|Université Paris Sciences et Lettres {https://ror.org/013cjyk83}|University of Lille {https://ror.org/02kzqn938}|Sorbonne Université {https://ror.org/02en5vm52}|Paris Observatory {https://ror.org/029nkcm90}
"6 Service de Chirurgie Vasculaire, CHU Nantes, France.",Centre Hospitalier Universitaire de Nantes {https://ror.org/05c1qsg97}
"IRIF, University of Paris Diderot, Inria, Paris, France",Research Institute on the Foundations of Computer Science {https://ror.org/02krdtz55}|Paris Diderot University {https://ror.org/02n7qrg46}|French Institute for Research in Computer Science and Automation {https://ror.org/02kvxyf05}
"LIPADE Laboratory, Paris Descartes University, France",Paris Descartes University {https://ror.org/0220k9r37}
"Inserm UMR 1011, Department of Cardiovascular Radiology, EGID (European Genomic Institute for Diabetes), université de Lille, Institut Cœur-Poumon, Institut Pasteur de Lille, CHU de Lille, FR3508, 59000 Lille, France",Inserm {https://ror.org/02vjkv261}|University of Lille {https://ror.org/02kzqn938}|European Genomic Institute for Diabetes {https://ror.org/05n2c8735}|Pasteur Institute of Lille {https://ror.org/05k9skc85}
"LIS, Aix Marseille Univ, Université de Toulon, CNRS, Marseille, France",Aix-Marseille University {https://ror.org/035xkbk20}|Université de Toulon {https://ror.org/02m9kbe37}|French National Centre for Scientific Research {https://ror.org/02feahw73}|Laboratoire d’Informatique et Systèmes {https://ror.org/0257sgk90}
"Université Paris Descartes, Sorbonne Paris Cité, INSERM UMR-S 1140, Paris, France",Paris Descartes University {https://ror.org/0220k9r37}|Sorbonne Paris Cité {https://ror.org/001z21q04}|Inserm {https://ror.org/02vjkv261}|Innovations Thérapeutiques en Hémostase {https://ror.org/02jp0cd74}
"University Grenoble Alpes, CEA, IRIG-DEPHY-MEM, 17 Avenue des Martyrs, 38000 Grenoble, France.",Université Grenoble Alpes {https://ror.org/02rx3b187}|CEA Grenoble {https://ror.org/02mg6n827}|lnstitut de Recherche Interdisciplinaire de Grenoble {https://ror.org/00byxdz40}
"CNRS 8119, Université Paris Descartes, Sorbonne Paris Cité, Paris, France.",French National Centre for Scientific Research {https://ror.org/02feahw73}|Sorbonne Paris Cité {https://ror.org/001z21q04}|Paris Descartes University {https://ror.org/0220k9r37}|Centre de Neurophysique Physiologie et Pathologie {https://ror.org/026pjf520}
"Service des maladies infectieuses et tropicales, Unicaen, CHU de Caen Normandie, Normandie université, 14000 Caen, France.",Centre Hospitalier Universitaire de Caen {https://ror.org/027arzy69}|Université de Caen Normandie {https://ror.org/051kpcy16}|Normandie Université {https://ror.org/01k40cz91}
"Aix-Marseille Univeristy, CNRS, Centrale Marseille, LMA UMR 7031, Marseille, France.",Aix-Marseille University {https://ror.org/035xkbk20}|Centrale Marseille {https://ror.org/040baw385}|French National Centre for Scientific Research {https://ror.org/02feahw73}|Laboratory of Mechanics and Acoustics {https://ror.org/03787ar02}
