raw_affiliation_string,label
"CAS Key Laboratory of Tropical Forest Ecology, Xishuangbanna , Tropical Botanical Garden, Chinese Academy of Sciences, Mengla, China",Chinese Academy of Sciences {https://ror.org/034t30j35}|Xishuangbanna Tropical Botanical Garden {https://ror.org/02rz58g17}
"Cardioangiologisches Centrum Bethanien (CCB), Medizinische Klinik III, Kardiologie, Agaplesion Markuskrankenhaus, Frankfurt am Main, Germany (J.K.R.C., S.B., J.L., L.M., S.T., S.Z., L.B., F.B., T.N., L.U., S.C., B.S.).",Agaplesion Markus Hospital {https://ror.org/04hd04g86}|Cardiovascular Center Bethanien {https://ror.org/00bypm595}
Department of DermatologyCatholic University of Daegu School of Medicine Daegu Korea,Catholic University of Daegu {https://ror.org/04fxknd68}
"Department of Physics & Astronomy, State University of New York, Stony Brook, New York",Stony Brook University {https://ror.org/05qghxh33}
"Department of Public Health, Maragheh University of Medical Sciences, Maragheh, Iran;",
"Department of Rheumatology and Immunology, Nanchong Central Hospital, The Second Clinical Medical College, North Sichuan Medical College, Nanchong, China.",North Sichuan Medical University {https://ror.org/05k3sdc46}|Nanchong Central Hospital {https://ror.org/05n50qc07}
"Dept. of Civil Eng., PSG Coll. of Technol., Coimbatore, India",
Ernst And Young,Ernst & Young (United Kingdom) {https://ror.org/020kg3x12}
"IASF-CNR, via Bassini 15, I-20133 Milan, Italy",Istituto di Astrofisica Spaziale e Fisica Cosmica di Milano {https://ror.org/01jgp6d54}|National Research Council {https://ror.org/04zaypm56}
IEEE,Institute of Electrical and Electronics Engineers {https://ror.org/01n002310}
"Inst. of Problems of Inf. Transmission, Acad. of Sci., Moscow, Russia",Institute for Information Transmission Problems {https://ror.org/013w2d378}|Russian Academy of Sciences {https://ror.org/05qrfxd25}
"Institute of Clinical Psychology, University of Management and Technology Lahore, Pakistan",University of Management and Technology {https://ror.org/0095xcq10}
"Jiaotong University of Shanghai Department of Urology, Sixth People's Hospital Shanghai China",Shanghai Jiao Tong University {https://ror.org/0220qvk04}|Shanghai Sixth People's Hospital {https://ror.org/049zrh188}
"Mathematical Institute, Oxford OX1 3LB, United Kingdom",
"NICTA, Univ. of New South Wales, NSW",Data61 {https://ror.org/03q397159}|UNSW Sydney {https://ror.org/03r8z3t63}
"National Laboratory of Pattern Recognition, Institute of Automation, CAS, Beijing, China",Chinese Academy of Sciences {https://ror.org/034t30j35}|Institute of Automation {https://ror.org/022c3hy66}|State Key Laboratory of Pattern Recognition {https://ror.org/02aztsv52}
"Neurological and Mental Health Division, The George Institute for Global Health, University of Sydney and Royal Prince Alfred Hospital, Sydney, Australia",The George Institute for Global Health {https://ror.org/023331s46}|Royal Prince Alfred Hospital {https://ror.org/05gpvde20}|University of Sydney {https://ror.org/0384j8v12}
"Observatoire de Paris DAEC, and UMR 8631, associé au CNRS et à l'Université Paris 7, 92195 Meudon Cedex, France",Paris Observatory {https://ror.org/029nkcm90}|Paris Diderot University {https://ror.org/02n7qrg46}|French National Centre for Scientific Research {https://ror.org/02feahw73}
"Orange Labs, Lannion, France",Orange (France) {https://ror.org/035j0tq82}
"SUBATECH, UMR 6457, Université de Nantes, Ecole des Mines de Nantes, IN2P3/CNRS, 4 rue Alfred Kastler, 44307 Nantes cedex 3, France",Nantes Université {https://ror.org/03gnr7b55}|Laboratoire de Physique Subatomique et des Technologies Associées {https://ror.org/01kxesq83}|Institut National de Physique Nucléaire et de Physique des Particules {https://ror.org/03fd77x13}
"The George Institute for Global Health, Royal Prince Alfred Hospital and the University of Sydney, PO Box M201, Missenden Road, NSW 2050 Australia",The George Institute for Global Health {https://ror.org/023331s46}|Royal Prince Alfred Hospital {https://ror.org/05gpvde20}|University of Sydney {https://ror.org/0384j8v12}
"The George Institute for Global Health, University of Sydney and Royal Prince Alfred Hospital, Sydney, NSW, Australia.",The George Institute for Global Health {https://ror.org/023331s46}|Royal Prince Alfred Hospital {https://ror.org/05gpvde20}|University of Sydney {https://ror.org/0384j8v12}
"The University of New South Wales and NICTA, Sydney, Australia",Data61 {https://ror.org/03q397159}|UNSW Sydney {https://ror.org/03r8z3t63}
UNS,
"University Institute of Engineering & Technology, Kurukshetra University, Kurukshetra, India",Kurukshetra University {https://ror.org/019bzvf55}
"[Tyndall Nat. Inst., Ireland]",Tyndall National Institute {https://ror.org/007ecwd34}
 Macquarie University,Macquarie University {https://ror.org/01sf06y89}
"#N##TAB##TAB##TAB##TAB# University of North Carolina at Chapel Hill, Chapel Hill, NC#N##TAB##TAB##TAB#",University of North Carolina at Chapel Hill {https://ror.org/0130frc33}
#N#Kansas State University#N#,Kansas State University {https://ror.org/05p1j8758}
#N#The Chinese University of Hong Kong#N#,Chinese University of Hong Kong {https://ror.org/00t33hh48}
"(Correspd. Tel.: +61 2 98509539; Fax: +61 2 98509551; E-mail: yanwang@ics.mq.edu.au) Department of Computing, Macquarie University, Sydney, Australia#TAB#",Macquarie University {https://ror.org/01sf06y89}
