raw_affiliation_string,label
"AL Jaber ENT and Eye Hospital, Al Ahsa, Saudi Arabia.",
کلية التجارة جاعة المنوفية,Menoufia University {https://ror.org/05sjrb944}
"قسم الهندسة المدنية والبيئة , جامعة الملك فهد للبترول والمعادن , الظهران , المملكة العربية السعودية",King Fahd University of Petroleum and Minerals {https://ror.org/03yez3163}
مدرس المناهج وطرق تدريس التربية الخاصة#N#کلية التربية – جامعة الفيوم,Fayoum University {https://ror.org/023gzwx10}
کلية التربية - جامعة السلطان قابوس - سلطنة عمان,Sultan Qaboos University {https://ror.org/04wq8zb47}
أستاذ الفقه المشارك - كلية الشريعة - جامعة جرش,Jerash University {https://ror.org/047mw5m74}
أستاذ مساعد – کلية التربية – جامعة حلوان,Helwan University {https://ror.org/00h55v928}
کلية التربيه الرياضيه بنين - جامعة الإسکندريه - مصر .,Alexandria University {https://ror.org/00mzz1w90}
الأستاذ المشارک في المناهج وطرق تدريس الرياضيات#N#جامعة الخليل/ فلسطين,Hebron University {https://ror.org/04wwgp209}
كلية مدينة العلم,Madenat Alelem University College {https://ror.org/00kazcx49}
كلية الخدمة الاجتماعية,
قسم الميديا بکلية الفنون التطبيقية ، الجامعة الألمانية بالقاهرة,German University in Cairo {https://ror.org/03rjt0z37}
بجامعة البلقاء التطبيقية,Al-Balqa Applied University {https://ror.org/00qedmt22}
جامعة الحزائر 2,
مركز البحوث التربوية والنفسية/ جامعة بغداد,University of Baghdad {https://ror.org/007f1da21}
جامعة وهران 2، الجزائر,University of Oran 2 Mohamed Ben Ahmed {https://ror.org/03k467383}
جامعة سطيف الجزائر,University Ferhat Abbas of Setif {https://ror.org/02rzqza52}
"Digestive Endoscopy Unit, Consorci Hospitalari Parc Tauli, Sabadell, Spain.",Parc Taulí Hospital Universitari {https://ror.org/02pg81z63}
"Nuclear Medicine Department, Hospital de la Santa Creu i Sant Pau, Universitat Autònoma de Barcelona, Barcelona, Spain",Universitat Autònoma de Barcelona {https://ror.org/052g8jq94}|Hospital de Sant Pau {https://ror.org/059n1d175}
"Institut de Biologia Evolutiva (CSIC-UPF), Departament de Ciències Experimentals i de la Salut, Universitat Pompeu Fabra, Barcelona 08003, Spain.,",Pompeu Fabra University {https://ror.org/04n0g0b29}|Institut de Biologia Evolutiva {https://ror.org/044mj7r89}
"Servicio de Medicina Intensiva, Hospital Universitari Arnau de Vilanova de Lleida, Lleida, Spain",Hospital Universitari Arnau de Vilanova {https://ror.org/01p3tpn79}
"Unidad de Control del Tabaquismo, Institut Català d’Oncologia-IDIBELL, L’Hospitalet (Barcelona). Departamento de Ciencias Clínicas, Facultat de Medicina, Campus de Bellvitge, Univesitat de Barcelona.",Universitat de Barcelona {https://ror.org/021018s57}|Institut Català d'Oncologia {https://ror.org/01j1eb875}|Institut d'Investigació Biomédica de Bellvitge {https://ror.org/0008xqs48}
"Fundació Observatory Esteve Duran, Barcelona, Spain",Fundació Observatori Esteve Duran {https://ror.org/04yhr9792}
"Institut de Ciències del Mar, CSIC, Pg. Marítim de la Barceloneta 37-49, Barcelona, Spain",Consejo Superior de Investigaciones Científicas {https://ror.org/02gfc7t72}|Institut de Ciències del Mar {https://ror.org/05ect0289}
"Centre d’Atenció Primària Cassà de la Selva, Institut d’Assistència Sanitària de Girona, Cassà de la Selva, Girona, España",Institut d'Assistència Sanitària {https://ror.org/058css875}
"UNESCO Chair on Sustainability - Universitat Politècnica de Catalunya, Terrassa, Barcelona, Spain",Universitat Politècnica de Catalunya {https://ror.org/03mb6wj31}
"Departament de Geodinàmica i Geofísica, Facultat de Geologia Universitat de Barcelona Barcelona Spain",Universitat de Barcelona {https://ror.org/021018s57}
"Pharmacy Unit. Hospital Clínic, Barcelona.",Hospital Clínic de Barcelona {https://ror.org/02a2kzf50}
