raw_affiliation_string,label
"Institute of Chemistry, University of Graz, NAWI Graz, BioTechMed Graz, Heinrichstrasse 28, 8010 Graz, Austria",BioTechMed-Graz {https://ror.org/02jfbm483}|Nawi Graz {https://ror.org/01mm16571}|University of Graz {https://ror.org/01faaaf77}
"Institute for Chemistry and Technology of Materials (ICTM), NAWI Graz, Graz University of Technology, Stremayrgasse 9, 8010, Graz, Austria",Nawi Graz {https://ror.org/01mm16571}|Graz University of Technology {https://ror.org/00d7xrm67}
"Institute of Medical Biochemistry, Department of Molecular Genetics, University and BioCenter Vienna, Austria.",University of Vienna {https://ror.org/03prydq77}|Vienna Biocenter {https://ror.org/04khwmr87}
"Department of Radiotherapy and Radiobiology, University of Vienna at the General Hospital Vienna, 1190, Vienna, Austria",University of Vienna {https://ror.org/03prydq77}|Vienna General Hospital {https://ror.org/05f0zr486}
"Unit of Comparative Cognition, Messerli Research Institute, Vetmeduni Vienna, University of Vienna, Medical University of Vienna, Vienna, Austria.",University of Vienna {https://ror.org/03prydq77}|University of Veterinary Medicine Vienna {https://ror.org/01w6qp003}|Medical University of Vienna {https://ror.org/05n3x4p02}
"Comparative Medicine, The Interuniversity Messerli Research Institute of the University of Veterinary Medicine Vienna, Medical University Vienna and University Vienna, Vienna, Austria.",University of Vienna {https://ror.org/03prydq77}|University of Veterinary Medicine Vienna {https://ror.org/01w6qp003}|Medical University of Vienna {https://ror.org/05n3x4p02}
"Institute of Molecular Biosciences, BioTechMed-Graz, University of Graz, Austria",BioTechMed-Graz {https://ror.org/02jfbm483}|University of Graz {https://ror.org/01faaaf77}
"Monash University & RMIT, Melbourne, VIC, Australia",RMIT University {https://ror.org/04ttjf776}|Monash University {https://ror.org/02bfwt286}
"School of Public Health and Community Medicine, University of New South Wales,Sydney, New South Wales,Australia.",UNSW Sydney {https://ror.org/03r8z3t63}
"EMBL Australia Node in Single Molecule Science, School of Medical Sciences, University of New South Wales, Sydney, Australia.",UNSW Sydney {https://ror.org/03r8z3t63}|EMBL Australia {https://ror.org/00yx5cw48}
"Telethon Kids Institute, School of Physiotherapy and Exercise Science, Curtin University, Centre for Child Health, University of Western Australia, Perth, Australia",Telethon Kids Institute {https://ror.org/01dbmzx78}|Curtin University {https://ror.org/02n415q13}|University of Western Australia {https://ror.org/047272k79}
"Hunter Medical Research Institute, John Hunter Hospital, New Lambton, NSW, Australia",John Hunter Hospital {https://ror.org/0187t0j49}|Hunter Medical Research Institute {https://ror.org/0020x6414}
"Hunter Medical Research Institute, The John Hunter Hospital, Newcastle, NSW, Australia",John Hunter Hospital {https://ror.org/0187t0j49}|Hunter Medical Research Institute {https://ror.org/0020x6414}
"Murdoch Childrens Research Institute, The Royal Children's Hospital, Melbourne, Victoria, Australia",Murdoch Children's Research Institute {https://ror.org/048fyec77}|Royal Children's Hospital {https://ror.org/02rktxt32}
"Victorian Clinical Genetics Services, Murdoch Children's Research Institute, Royal Children's Hospital, Melbourne, Victoria, Australia.",Murdoch Children's Research Institute {https://ror.org/048fyec77}|Royal Children's Hospital {https://ror.org/02rktxt32}|Victorian Clinical Genetics Services {https://ror.org/01mmz5j21}
"New Vaccines, Murdoch Children's Research Institute, Royal Children's Hospital, Parkville, Australia.",Murdoch Children's Research Institute {https://ror.org/048fyec77}|Royal Children's Hospital {https://ror.org/02rktxt32}
